ALB,Albania,Europe & Central Asia,Upper middle income,https://en.wikipedia.org/wiki/Albania
CHN,China,East Asia & Pacific,Upper middle income,https://en.wikipedia.org/wiki/China
CHL,Chile,Latin America & Caribbean,High income,https://en.wikipedia.org/wiki/Chile
CZE,Czech Republic,Europe & Central Asia,High income,https://en.wikipedia.org/wiki/Czech_Republic
ETH,Ethiopia,Sub-Saharan Africa,Low income,https://en.wikipedia.org/wiki/Ethiopia
FIN,Finland,Europe & Central Asia,High income,https://en.wikipedia.org/wiki/Finland
IRQ,Iraq,Middle East & North Africa,Upper middle income,https://en.wikipedia.org/wiki/Iraq
IRN,Iran,Middle East & North Africa,Upper middle income,https://en.wikipedia.org/wiki/Iran
KEN,Kenya,Sub-Saharan Africa,Lower middle income,https://en.wikipedia.org/wiki/Kenya
LBY,Libya,Middle East & North Africa,Upper middle income,https://en.wikipedia.org/wiki/Libya
MEX,Mexico,Latin America & Caribbean,Upper middle income,https://en.wikipedia.org/wiki/Mexico
MAR,Morocco,Middle East & North Africa,Lower middle income,https://en.wikipedia.org/wiki/Morocco
MCO,Monaco,Europe & Central Asia,High income,https://en.wikipedia.org/wiki/Monaco
MMR,Myanmar,East Asia & Pacific,Lower middle income,https://en.wikipedia.org/wiki/Myanmar
PHL,Philippines,East Asia & Pacific,Lower middle income,https://en.wikipedia.org/wiki/Philippines
RUS,Russian Federation,Europe & Central Asia,Upper middle income,https://en.wikipedia.org/wiki/Russia
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,
MAF,St. Martin (French part),Latin America & Caribbean,High income,
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,
TUR,Turkey,Europe & Central Asia,Upper middle income,
USA,United States,North America,High income,
URY,Uruguay,Latin America & Caribbean,High income,
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,
WLD,World,0,0,
